list_id,attribute_id,attribute_value
132315645,apartment_type,"Căn hộ dịch vụ, mini"
132366851,rooms,4 PN
132366851,house_type,"Nhà ngõ, hẻm"
132368900,rooms,1 PN
132368900,house_type,"Nhà mặt phố, mặt tiền"
132364821,rooms,6 PN
132364821,house_type,"Nhà ngõ, hẻm"
132362779,rooms,2 PN
132362779,direction,Hướng Tây Nam
132362779,apartment_type,Chung cư
132340272,rooms,2 PN
132340272,apartment_type,Chung cư
129272380,rooms,1 PN
129272380,apartment_type,Chung cư
132358718,rooms,3 PN
132358718,house_type,"Nhà ngõ, hẻm"
132336194,rooms,4 PN
132336194,house_type,"Nhà ngõ, hẻm"
131514952,commercial_type,Văn phòng
132338253,rooms,3 PN
132338253,direction,Hướng Bắc
132338253,house_type,"Nhà mặt phố, mặt tiền"
130853455,furnishing_rent,Nhà trống
131709520,land_type,Đất thổ cư
131709520,width,Ngang 4.5 m
132364883,rooms,4 PN
132364883,direction,Hướng Tây Bắc
132364883,house_type,"Nhà mặt phố, mặt tiền"
132325981,rooms,2 PN
132325981,apartment_type,Chung cư
132364899,commercial_type,Văn phòng
131693160,rooms,5 PN
131693160,house_type,"Nhà mặt phố, mặt tiền"
132334209,rooms,2 PN
132334209,house_type,"Nhà ngõ, hẻm"
132358797,land_type,Đất thổ cư
132358797,width,Ngang 7 m
132344467,rooms,4 PN
132344467,direction,Hướng Đông
132344467,house_type,"Nhà ngõ, hẻm"
132356757,rooms,4 PN
132356757,house_type,"Nhà ngõ, hẻm"
132356759,rooms,1 PN
132356759,direction,Hướng Tây Nam
132356759,house_type,Nhà phố liền kề
132358812,furnishing_rent,Nội thất đầy đủ
132321949,rooms,4 PN
132321949,direction,Hướng Đông Bắc
132321949,house_type,"Nhà ngõ, hẻm"
132358815,rooms,2 PN
132358815,apartment_type,"Tập thể, cư xá"
132190882,rooms,4 PN
132190882,house_type,"Nhà ngõ, hẻm"
132336291,rooms,3 PN
132336291,direction,Hướng Đông Nam
132336291,apartment_type,Chung cư
132360885,rooms,3 PN
132360885,direction,Hướng Tây Bắc
132360885,apartment_type,Chung cư
132176575,commercial_type,Văn phòng
132176575,furnishing_sell,Hoàn thiện cơ bản
132238015,rooms,4 PN
132238015,house_type,"Nhà ngõ, hẻm"
132358858,rooms,3 PN
132358858,house_type,"Nhà ngõ, hẻm"
132330188,commercial_type,Văn phòng
132358864,land_type,Đất thổ cư
132362965,rooms,3 PN
132362965,house_type,"Nhà mặt phố, mặt tiền"
131156709,rooms,3 PN
131156709,house_type,"Nhà mặt phố, mặt tiền"
132266727,rooms,5 PN
132266727,house_type,Nhà phố liền kề
132365032,rooms,3 PN
132365032,house_type,"Nhà ngõ, hẻm"
132066031,rooms,2 PN
132066031,apartment_type,"Tập thể, cư xá"
132360956,rooms,2 PN
132360956,apartment_type,Chung cư
132367103,rooms,4 PN
132367103,direction,Hướng Tây
132367103,house_type,"Nhà ngõ, hẻm"
131939077,furnishing_rent,Nội thất cao cấp
131910431,rooms,3 PN
131910431,direction,Hướng Đông Bắc
131910431,house_type,"Nhà mặt phố, mặt tiền"
132332320,commercial_type,Văn phòng
132332320,furnishing_sell,Hoàn thiện cơ bản
132332351,rooms,2 PN
132332351,apartment_type,Chung cư
132358978,rooms,2 PN
132358978,apartment_type,Chung cư
132356939,rooms,2 PN
132356939,direction,Hướng Đông Bắc
132356939,house_type,"Nhà ngõ, hẻm"
132358999,rooms,4 PN
132358999,apartment_type,"Tập thể, cư xá"
132356953,furnishing_rent,Nội thất đầy đủ
132174687,furnishing_rent,Nội thất đầy đủ
130759541,rooms,2 PN
130759541,direction,Hướng Tây Nam
130759541,house_type,"Nhà ngõ, hẻm"
130081678,rooms,2 PN
130081678,direction,Hướng Tây Bắc
130081678,apartment_type,Chung cư
132332431,rooms,3 PN
132332431,house_type,"Nhà ngõ, hẻm"
132311958,commercial_type,Văn phòng
132359072,rooms,3 PN
132359072,house_type,"Nhà ngõ, hẻm"
132365222,rooms,4 PN
132365222,house_type,"Nhà ngõ, hẻm"
131398567,commercial_type,Văn phòng
131879851,commercial_type,Văn phòng
132359085,rooms,2 PN
132359085,house_type,"Nhà ngõ, hẻm"
132363189,rooms,nhiều hơn 10 PN
132363189,house_type,"Nhà ngõ, hẻm"
131546044,land_type,Đất nền dự án
128791487,land_type,Đất nông nghiệp
128791487,width,Ngang 5 m
132361152,rooms,5 PN
132361152,house_type,"Nhà ngõ, hẻm"
131974084,rooms,9 PN
131974084,house_type,"Nhà mặt phố, mặt tiền"
132359108,rooms,5 PN
132359108,house_type,"Nhà mặt phố, mặt tiền"
131787721,furnishing_rent,Nội thất đầy đủ
132363212,rooms,4 PN
132363212,house_type,"Nhà ngõ, hẻm"
132199373,commercial_type,Mặt bằng kinh doanh
131806161,rooms,4 PN
131806161,house_type,"Nhà ngõ, hẻm"
132369376,rooms,3 PN
132369376,house_type,"Nhà ngõ, hẻm"
132357110,rooms,3 PN
132357110,house_type,"Nhà ngõ, hẻm"
132365306,rooms,1 PN
132365306,apartment_type,"Căn hộ dịch vụ, mini"
128279547,rooms,3 PN
128279547,direction,Hướng Tây Nam
128279547,apartment_type,Chung cư
132363268,rooms,1 PN
132363268,apartment_type,"Căn hộ dịch vụ, mini"
131785732,land_type,Đất thổ cư
128486406,land_type,Đất thổ cư
