list_id,property_type,listing_type,area_m2,living_area_m2,width_m,length_m,rooms,toilets,floors,legal_document,furnishing,street_name,price_per_m2,area_group,price_group
132367595,1,sale,70.0,,,,2.0,1.0,,6.0,2.0,Phố Nguyễn Phan Chánh,78571428.57142857,medium,5_10b
132361468,1,,86.0,,,,2.0,2.0,,,3.0,Nguyễn Đức Cảnh,62790697.674418606,medium,5_10b
131028221,3,,22.0,22.0,,,3.0,3.0,4.0,1.0,1.0,Đường Giáp Bát,311818181.8181818,very_small,5_10b
132336921,1,sale,68.0,,5.0,14.0,,,,1.0,,Đại Lộ Thăng Long,37647058.823529415,medium,1_3b
132371739,1,,45.0,,,,2.0,1.0,,,3.0,Tam Khương,44444444.44444445,small,1_3b
132336942,1,,91.0,91.0,7.0,13.0,4.0,3.0,4.0,1.0,,Ngõ Vườn Hồ 1,229670329.67032966,medium,over_10b
132056366,3,,40.0,,6.1999,,5.0,5.0,,1.0,1.0,Đường Tam Trinh,262500000.0,small,over_10b
130454834,3,sale,49.0,260.0,,,6.0,,5.0,1.0,,Đê La Thành,189795918.36734694,small,5_10b
132339004,3,,38.0,45.0,,,4.0,4.0,5.0,1.0,2.0,Phố Quan Nhân,210526315.78947368,small,5_10b
132236605,3,sale,71.9,288.0,4.6999,15.3,4.0,4.0,4.0,1.0,3.0,Phố Tây Sơn,326842837.27399164,medium,over_10b
132371777,1,,80.0,,,,2.0,2.0,,6.0,3.0,Nguyễn Đức Cảnh,66250000.0,medium,5_10b
130794817,3,sale,50.0,50.0,,,6.0,4.0,5.0,1.0,1.0,Phố Định Công Thượng,232000000.0,small,over_10b
131724609,Phòng trọ,rent,25.0,,,,,,,,2.0,Đường Hoàng Trình Thanh,120000.0,very_small,under_1b
132361542,3,,50.0,,,,,,,,,Ngõ 20 Trần Quý Kiên,520000.0,small,under_1b
132334918,1,,35.0,,,,4.0,3.0,5.0,1.0,1.0,Đường Tây Mỗ,171428571.42857143,small,5_10b
131577168,3,,15.0,18.0,,,3.0,4.0,5.0,1.0,2.0,Hoà bình 7,286666666.6666667,very_small,3_5b
132017491,1,sale,60.0,,5.0,12.0,,,,1.0,,Đường Quốc lộ 21,41666666.666666664,medium,1_3b
132363616,1,,55.0,,,,2.0,,,6.0,2.0,Đường Đại Cồ Việt,107272727.27272727,small,5_10b
132359525,3,,30.0,30.0,3.5,8.5,4.0,5.0,5.0,1.0,1.0,phố nam dư,250000000.0,small,5_10b
132349290,4,,260.0,,,,,,,,,Phố Mai Hắc Đế,153846.15384615384,large,under_1b
132322668,3,,66.0,,5.0,,3.0,,2.0,1.0,,điền xá,46969696.96969697,medium,3_5b
132365682,5,sale,60.0,,,,2.0,1.0,,6.0,1.0,Đường Phạm Văn Đồng,66333333.333333336,medium,3_5b
132361595,3,sale,38.0,87.0,3.7999,10.0,2.0,2.0,2.0,6.0,2.0,Phố An Dương,40789473.684210524,small,1_3b
130819462,3,sale,52.5,,,,3.0,3.0,3.0,,,Phố Bạch Mai,262857142.85714287,small,over_10b
132001167,3,sale,28.0,28.0,3.5,8.0,3.0,2.0,4.0,1.0,1.0,Minh Khai,230357142.85714287,very_small,5_10b
131964304,1,rent,48.0,,,,1.0,1.0,,6.0,2.0,Đại Mỗ,187500.0,small,under_1b
132363689,1,rent,91.0,,,,,,,1.0,3.0,Tố Hữu,659340.6593406594,medium,under_1b
132365739,1,sale,86.0,,,,2.0,2.0,,,,Phố Nguyễn Đức Cảnh,62790697.674418606,medium,5_10b
132197807,1,rent,82.0,,,,3.0,2.0,,6.0,3.0,Đại Mỗ,146341.46341463414,medium,under_1b
132365753,1,rent,80.0,,,,2.0,,,,2.0,Đường Ngọc Thụy,112500.0,medium,under_1b
131837373,Phòng trọ,rent,28.0,,,,,,,,2.0,Đường Lê Quang Đạo,121428.57142857143,very_small,under_1b
132363725,1,,68.0,250.0,4.0,15.0,4.0,,4.0,1.0,1.0,Đường Nguyễn Văn Linh,147058823.52941176,medium,over_10b
132302286,1,rent,54.0,,,,2.0,,,,,Đại Mỗ,111111.11111111111,small,under_1b
132365776,Phòng trọ,rent,20.0,,,,,,,,2.0,Ngõ 198 Xã Đàn,150000.0,very_small,under_1b
132365780,1,,65.0,,,,2.0,,,6.0,2.0,Đại Mỗ,73692307.6923077,medium,3_5b
132359644,3,,35.0,35.0,,,3.0,,,1.0,1.0,Trần Đại Nghĩa,2557142857.142857,small,over_10b
132365810,1,sale,70.0,,,,2.0,2.0,,6.0,2.0,Đường Tam Trinh,81142857.14285715,medium,5_10b
132099576,3,rent,20.0,40.0,3.0,7.0,1.0,1.0,2.0,5.0,2.0,Ngõ 1B Hoàng Hoa Thám,525000.0,very_small,under_1b
131554819,Phòng trọ,,20.0,,,,,,,,1.0,Phố Phú Đô,180000.0,very_small,under_1b
132347396,1,sale,146.0,,5.0,28.0,,,,1.0,,liên thôn,7610349.315068494,large,1_3b
132331030,1,sale,55.0,,,,,,,,,Đường Phúc Lợi,131818181.81818181,small,5_10b
129140251,3,,30.0,,,,3.0,,,1.0,,Phố Bạch Mai,211666666.66666666,small,5_10b
132363812,2,rent,35.0,,,,1.0,1.0,,4.0,2.0,Ngách 49 Ngõ 33 Phú Mỹ,162857.14285714287,small,under_1b
132234789,Phòng trọ,rent,40.0,,,,,,,,2.0,Ngõ 144 Quan Nhân,125000.0,small,under_1b
129996331,3,rent,37.0,111.0,,,3.0,3.0,3.0,,,Đường Bến,135135.13513513515,small,under_1b
132210220,2,,33.0,,,,1.0,,,,,Đường Lê Quang Đạo,142424.24242424243,small,under_1b
132097580,Phòng trọ,rent,18.0,,,,,,,,2.0,ngõ 199 hồ tùng mậu,166666.66666666666,very_small,under_1b
132361775,3,sale,60.0,,,,4.0,,,,,Đường Trần Phú,300000000.0,medium,over_10b
132363827,1,sale,115.0,,6.5,17.6,,,,,,Văn Sơn,14782608.695652174,large,1_3b
132367945,4,,160.0,,,,,,,1.0,,Phố Nguyễn Khuyến,281250.0,large,under_1b
130494030,3,sale,30.0,30.0,3.0,10.0,3.0,3.0,4.0,1.0,1.0,Phố Hoa Bằng,300000000.0,small,5_10b
